NAME_0,NAME_1,NAME_2,ID_2,Mean_RAINFALL_2025.01.01[mm],Mean_RAINFALL_2025.01.02[mm],Mean_RAINFALL_2025.01.03[mm],Mean_RAINFALL_2025.01.04[mm],Mean_RAINFALL_2025.01.05[mm],Mean_RAINFALL_2025.01.06[mm],Mean_RAINFALL_2025.01.07[mm],Mean_RAINFALL_2025.01.08[mm],Mean_RAINFALL_2025.01.09[mm],Mean_RAINFALL_2025.01.10[mm],Mean_RAINFALL_2025.01.11[mm],Mean_RAINFALL_2025.01.12[mm],Mean_RAINFALL_2025.01.13[mm],Mean_RAINFALL_2025.01.14[mm],Mean_RAINFALL_2025.01.15[mm],Mean_RAINFALL_2025.01.16[mm],Mean_RAINFALL_2025.01.17[mm],Mean_RAINFALL_2025.01.18[mm],Mean_RAINFALL_2025.01.19[mm],Mean_RAINFALL_2025.01.20[mm],Mean_RAINFALL_2025.01.21[mm],Mean_RAINFALL_2025.01.22[mm],Mean_RAINFALL_2025.01.23[mm],Mean_RAINFALL_2025.01.24[mm],Mean_RAINFALL_2025.01.25[mm],Mean_RAINFALL_2025.01.26[mm],Mean_RAINFALL_2025.01.27[mm],Mean_RAINFALL_2025.01.28[mm],Mean_RAINFALL_2025.01.29[mm],Mean_RAINFALL_2025.01.30[mm],Mean_RAINFALL_2025.01.31[mm],Mean_RAINFALL_2025.02.01[mm],Mean_RAINFALL_2025.02.02[mm],Mean_RAINFALL_2025.02.03[mm],Mean_RAINFALL_2025.02.04[mm],Mean_RAINFALL_2025.02.05[mm],Mean_RAINFALL_2025.02.06[mm],Mean_RAINFALL_2025.02.07[mm],Mean_RAINFALL_2025.02.08[mm],Mean_RAINFALL_2025.02.09[mm],Mean_RAINFALL_2025.02.10[mm],Mean_RAINFALL_2025.02.11[mm],Mean_RAINFALL_2025.02.12[mm],Mean_RAINFALL_2025.02.13[mm],Mean_RAINFALL_2025.02.14[mm],Mean_RAINFALL_2025.02.15[mm],Mean_RAINFALL_2025.02.16[mm],Mean_RAINFALL_2025.02.17[mm],Mean_RAINFALL_2025.02.18[mm],Mean_RAINFALL_2025.02.19[mm],Mean_RAINFALL_2025.02.20[mm],Mean_RAINFALL_2025.02.21[mm],Mean_RAINFALL_2025.02.22[mm],Mean_RAINFALL_2025.02.23[mm],Mean_RAINFALL_2025.02.24[mm],Mean_RAINFALL_2025.02.25[mm],Mean_RAINFALL_2025.02.26[mm],Mean_RAINFALL_2025.02.27[mm],Mean_RAINFALL_2025.02.28[mm]
Malawi,Balaka,Balaka Town,MWI.1.1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Balaka,TA Kalembo,MWI.1.2_1,8.666790553501674,17.87289755684989,4.416372571672712,13.919544764927455,2.7630724225725447,0.0,15.416085379464286,15.248115539550781,9.729924883161273,23.95326886858259,0.0,0.9091486930847168,16.290510995047434,1.0392695154462541,3.5614940098353793,0.7987442016601562,27.8541259765625,13.820532662527901,29.11427961077009,5.701295035226004,41.52015904017857,34.59306117466518,11.907448904854911,19.116792951311385,4.277894701276507,3.9253112248011996,16.687818254743302,6.102341788155692,27.135918753487722,0.2526811361312866,19.44461931501116,0.0,0.0,17.277733939034597,10.976171221051898,0.0,0.20978096553257533,10.829496111188616,6.573072160993304,5.3681793212890625,14.389390127999443,5.762699672154018,5.809235709054129,0.9358900615147182,2.4013595581054688,0.6059151376996722,19.878956386021205,14.930221557617188,9.259730747767858,0.24755689076014928,24.901578630719865,13.628407069614955,18.142706734793528,27.353315080915177,18.888050624302455,0.4988301822117397,4.26855332510812,9.628921508789062,5.037082127162388
Malawi,Balaka,TA Nsamala,MWI.1.3_1,6.116025841754416,12.965982188349185,7.489487357761549,11.58087688943614,5.623904684315557,0.0,9.627762504245924,27.029556937839676,5.5220194277556045,9.24591064453125,0.0,0.969683605691661,9.955554464588994,1.42266497404679,5.444147856339164,8.72532322095788,17.79243668265965,21.11700439453125,30.195901621942934,14.100520921790082,31.922925866168477,21.570418648097824,9.120505291482676,14.48504638671875,3.4970185653023096,1.8852530769679858,14.77130657693614,10.345470926036006,21.448473059612773,1.0927550274392832,16.69272514011549,0.0,0.0,9.38639499830163,14.493900464928668,0.0,0.03496901885322903,8.829268745754076,9.37629102623981,7.430135312287704,14.819394318953805,6.322869342306386,5.560704106869905,0.060300650803939156,1.9151802062988281,3.3507458230723506,20.37758205247962,14.5736083984375,16.56425940472147,1.5483481365701426,35.881406037703805,4.001409447711447,16.99330470872962,30.409423828125,31.600925611413043,5.011324011761209,3.4268171890922217,6.568009086277174,3.5680886973505435
Malawi,Blantyre,Blantyre City,MWI.2.1_1,0.0,10.408672332763672,14.157998085021973,9.488487243652344,8.859469413757324,0.0,7.985705852508545,31.809402465820312,0.0,0.0,0.0,0.0,12.699647903442383,0.0,3.206608295440674,39.62784194946289,11.804464340209961,13.89409351348877,15.959939002990723,8.987398147583008,38.738525390625,16.396358489990234,7.89528226852417,11.59920597076416,6.6334357261657715,6.6059417724609375,15.103907585144043,12.783527374267578,8.764856338500977,0.0,7.5519537925720215,0.0,0.0,25.412376403808594,0.7110339403152466,0.0,0.14752426743507385,7.129622936248779,12.788772583007812,9.200153350830078,15.7127046585083,6.885593414306641,7.921915054321289,3.584007501602173,9.498810768127441,1.660435438156128,21.962425231933594,14.641617774963379,23.865581512451172,13.666509628295898,30.983318328857422,12.898508071899414,17.820697784423828,22.58922004699707,20.479469299316406,2.109750747680664,3.3670411109924316,5.286543846130371,3.1713244915008545
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,0.0,10.445359366280693,6.507510049002511,8.843639918736049,9.598569597516741,0.0,8.757671356201172,26.273014613560267,1.1706809997558594,5.9499326433454245,0.0,0.0,10.50702885219029,3.1431258065359935,0.42504184586661203,21.302843366350448,0.0,20.627105712890625,23.25927952357701,17.87946101597377,26.638739449637278,14.535645621163505,6.444101061139788,10.380307878766741,3.480224609375,0.0,13.081996372767858,14.54670170375279,7.079400198800223,0.0,1.2445201873779297,0.0,0.0,20.985972813197545,12.977747235979352,0.0,0.0,6.942316327776227,10.644175938197545,8.337038312639509,14.439188276018415,10.114687238420759,0.0,0.0,3.11031859261649,6.5767942156110495,20.200648716517858,17.243787493024552,22.03167506626674,5.734410967145648,33.66774640764509,0.0,3.5600504193987166,40.42515345982143,29.547701154436385,1.4236654554094588,3.4326553344726562,5.781785147530692,3.3714610508510043
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,0.0,8.420641899108887,6.814308166503906,10.53077507019043,9.621118545532227,0.0,10.852036476135254,24.995590209960938,0.0,0.0,0.0,0.0,11.342241287231445,0.7928237915039062,3.5200448036193848,28.96515464782715,4.5658745765686035,13.615208625793457,16.734636306762695,13.615208625793457,29.908124923706055,14.238463401794434,6.484556198120117,10.02210521697998,4.579832077026367,2.5156590938568115,15.507013320922852,19.384349822998047,4.928138732910156,0.0,1.6408424377441406,0.0,0.0,26.228857040405273,2.6577301025390625,0.0,0.043017324060201645,6.425088405609131,10.815165519714355,7.978294849395752,13.995266914367676,7.36662483215332,4.47203254699707,6.913163661956787,5.317751884460449,1.33620285987854,21.407625198364258,16.87493896484375,26.782835006713867,6.246424198150635,31.016239166259766,7.487852096557617,8.540295600891113,25.6367130279541,22.452089309692383,5.235074043273926,3.6899447441101074,6.089725971221924,3.631197452545166
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,0.0,8.15436484596946,9.436256408691406,7.908823186700994,12.75538496537642,0.0,7.296987360174006,29.68331631747159,0.0,0.0,0.0,0.0,10.976599953391336,1.4570302096280185,2.7479639920321377,23.801630193536933,12.700593428178268,13.37740117853338,12.800220836292613,15.905692360617898,29.809864390980113,14.64764404296875,6.572635997425426,10.601638793945312,5.008338234641335,0.6779778653925116,13.229225852272727,20.47860162908381,7.718950445001775,0.0,3.2010588212446733,0.0,0.0,21.45796619762074,4.88947157426314,0.0,0.01674296639182351,5.251319885253906,9.610782970081676,6.935299266468395,12.498102361505682,9.630945379083807,3.2482851201837715,5.036157781427557,8.808121421120383,0.7662137638438832,21.33408702503551,12.297934792258523,24.026350541548297,7.111361416903409,30.3702392578125,7.5636069557883525,14.206362637606533,25.37521917169744,18.562078302556817,2.9180585687810723,3.0573654174804688,4.881436087868431,2.7830560857599433
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,0.0,7.144652775355747,10.012081691196986,6.803592136928013,15.518823896135602,0.0,7.600385393415179,30.363695417131698,0.5893322399684361,0.0,0.0,0.0,9.975254603794642,2.9301384517124722,2.505521501813616,23.92531258719308,12.187384469168526,9.930964878627233,10.100472586495536,17.345696585518972,27.631731305803573,14.489598955426898,6.3177659170968195,10.655779157366071,4.798403058733259,0.44607322556631906,12.652113778250557,20.444789341517858,10.665524074009486,0.0,2.940845217023577,0.0,0.0,15.138393947056361,6.045607430594308,0.0,0.0012179562555892126,4.011520658220563,7.753700256347656,5.486696515764509,10.249095371791295,7.867988041469029,1.1305668694632394,2.0520640781947543,9.793603079659599,3.741481236049107,19.458770751953125,11.925349644252233,18.17040470668248,6.48625728062221,27.321020943777903,8.018092564174108,11.88961900983538,22.668042864118302,15.719480242047991,3.394843782697405,2.5504253932407925,4.021209171840122,2.1847357068743025
Malawi,Blantyre,TA Lundu,MWI.2.6_1,0.0,11.366747538248697,9.812838872273764,11.366747538248697,6.427910486857097,2.2614283561706543,10.073258717854818,22.56286366780599,0.0,4.968649864196777,0.0,0.0,15.321523030598959,0.0,2.033125082651774,21.114285786946613,0.0,19.997777303059895,29.996663411458332,19.997777303059895,31.320393880208332,15.264376322428385,6.902405420939128,10.153598149617514,4.093635559082031,0.0,21.145657857259113,16.30146662394206,6.8119862874348955,0.0,0.0,2.3287855784098306,0.0,30.781598409016926,4.087853113810222,0.0,0.0,8.405248006184896,12.011302947998047,9.070364634195963,16.356849670410156,4.3735917409261065,5.438767115275065,0.6233805815378824,4.643001874287923,5.323357264200847,22.95953877766927,18.90771993001302,29.313809712727863,2.689421017964681,35.57647959391276,5.269964853922526,10.685927073160807,32.05778503417969,20.999156951904297,8.66043790181478,3.8439785639444985,6.737622578938802,4.190595626831055
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,0.0,6.127344131469727,12.254688262939453,12.254688262939453,6.127344131469727,0.0,11.92194652557373,23.84389305114746,0.0,0.0,0.0,0.0,13.555727005004883,0.0,3.3889317512512207,22.50241470336914,7.500804901123047,15.001609802246094,15.001609802246094,15.001609802246094,29.75543212890625,12.855545043945312,5.980842113494873,8.794313430786133,4.512970447540283,5.53428316116333,16.60284996032715,11.06856632232666,5.53428316116333,0.0,5.53428316116333,0.0,0.0,30.0975399017334,0.0,0.0,0.05706823617219925,8.341087341308594,13.564798355102539,9.92410659790039,17.3863525390625,4.625810146331787,4.625810146331787,4.625810146331787,9.251620292663574,4.625810146331787,23.06509780883789,15.37673282623291,30.75346565246582,15.37673282623291,30.75346565246582,8.58543872833252,17.17087745666504,25.756317138671875,17.17087745666504,8.58543872833252,4.336768627166748,7.419341564178467,4.589522361755371
