NAME_0,NAME_1,NAME_2,GID_2,001MOD11A2,009MOD11A2,017MOD11A2,025MOD11A2,033MOD11A2,041MOD11A2,049MOD11A2,057MOD11A2,065MOD11A2,073MOD11A2,081MOD11A2,089MOD11A2,097MOD11A2,105MOD11A2,113MOD11A2,121MOD11A2,129MOD11A2,137MOD11A2,145MOD11A2,153MOD11A2,161MOD11A2,169MOD11A2,177MOD11A2,185MOD11A2,193MOD11A2,201MOD11A2,209MOD11A2,217MOD11A2,225MOD11A2,233MOD11A2,241MOD11A2,249MOD11A2,257MOD11A2,265MOD11A2,273MOD11A2,281MOD11A2,289MOD11A2,297MOD11A2,305MOD11A2,313MOD11A2,321MOD11A2,329MOD11A2,337MOD11A2,345MOD11A2,353MOD11A2,361MOD11A2
Malawi,Balaka,Balaka Town,MWI.1.1_1,29.465000000000032,30.28800000000001,28.972000000000037,25.32000000000005,27.02000000000004,,31.508000000000038,25.750000000000057,31.54400000000004,34.81800000000004,35.124000000000024,32.82800000000003,33.49800000000005,32.54200000000003,32.418000000000006,34.186000000000035,30.57800000000003,30.52800000000002,32.19400000000002,27.74200000000002,27.948000000000036,28.80600000000004,30.136000000000024,31.410000000000025,30.132000000000062,29.640000000000043,30.424000000000035,33.50200000000001,34.24600000000004,35.08000000000004,37.174000000000035,35.906000000000006,40.25800000000004,40.71800000000002,43.50000000000006,41.164000000000044,42.47800000000001,41.84400000000005,44.49000000000001,38.31400000000002,45.726,43.454000000000065,,40.150000000000034,36.03200000000004,32.660000000000025
Malawi,Balaka,TA Kalembo,MWI.1.2_1,28.482760180995513,29.37253308128544,27.29046367851629,25.06452736318414,27.01620985010709,24.15378571428579,30.741556240369846,29.521376518218688,31.151633281972295,31.854252696456115,32.46334360554698,30.967195685670276,32.53018489984595,31.751571648690344,31.037519260400643,32.23265023112481,29.181093990755016,30.00799691833589,31.181648690292775,29.403744221879833,28.717026194144864,29.096070878274304,30.35172573189527,31.273697996918372,31.17388289676427,30.43949152542376,31.00380585516183,34.9791525423729,35.59758089368262,35.458104776579376,38.12097072419107,38.00137134052392,42.243744221879865,42.92830508474577,45.71807395993841,40.76244992295841,45.43033898305089,43.9573651771957,46.68898305084747,45.67674884437599,48.36599383667186,45.34587057010788,30.506666666666717,34.3339513677812,34.12706336939726,34.11916797488226
Malawi,Balaka,TA Nsamala,MWI.1.3_1,28.709749739311803,29.992199832073936,27.74141430948424,28.169890710382504,26.065028901734138,26.330080000000066,30.357321131447577,28.540245040840148,30.41124792013312,32.354093178036635,31.00296173044927,31.401996672213045,31.847321131447586,31.948386023294518,30.944026622296235,32.0070881863561,30.38936772046594,30.320782029950124,31.854026622296203,29.40865224625628,28.417920133111522,29.215673876871904,30.75514143094847,32.0499833610649,30.797437603993387,31.073943427620634,31.349084858569086,34.8155241264559,35.40109816971716,36.53465890183031,37.73930116472553,37.59825291181369,41.27737104825292,42.63489184692179,44.434359400998346,40.5436106489185,45.12955074875214,43.813111480865246,44.708219633943486,43.83963394342766,47.83752079866889,44.45708818635609,31.045000000000016,39.59162361623618,36.00644407345578,33.015878320479885
Malawi,Blantyre,Blantyre City,MWI.2.1_1,24.961481481481542,27.360126582278554,27.347740112994416,27.847087378640822,24.310000000000002,,28.37449760765554,26.286076555023953,27.48454545454547,30.481291866028698,29.81449760765554,29.58272727272731,29.4823444976077,28.79641148325362,28.49688995215314,29.169521531100486,27.20511961722491,27.355933014354093,28.55545454545461,25.835358851674698,25.31076555023924,25.011148325358874,27.597081339712986,27.24559808612446,27.72885167464119,22.170673076923094,25.599665071770346,30.07545454545459,31.04636363636365,31.128086124401932,33.73880382775121,31.536507177033513,36.015167464114825,36.451339712918696,38.45622009569382,30.27532019704438,39.24004784688998,36.47382775119621,39.7962200956938,37.25488038277513,42.236220095693795,40.49669856459337,31.8366666666667,32.34586538461542,30.931123595505653,26.70868852459023
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,30.76297709923665,33.113333333333344,26.62356783919597,30.043963963964018,27.55888888888893,24.575333333333333,30.970990990991027,29.049099099099124,30.868828828828896,33.72045045045047,31.779639639639697,32.25333333333333,33.250900900900945,32.54243243243246,31.645405405405427,31.768378378378372,31.434684684684726,30.96378378378381,31.457297297297316,29.756666666666717,27.893243243243262,29.053243243243287,30.765945945945987,31.49306306306306,30.747837837837835,29.700990990990988,31.313153153153166,34.19918918918921,35.11693693693695,36.55675675675678,38.06990990990994,37.32963963963965,40.88621621621621,43.124414414414446,43.204234234234264,38.35612612612613,45.42567567567568,44.26936936936943,45.92315315315318,43.89558558558559,47.066126126126164,45.33135135135137,31.49000000000001,35.50215311004786,38.075765765765766,35.496126126126114
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,29.8921768707483,33.461322751322825,25.56746666666669,30.140476190476193,,,29.96021052631579,28.875368421052656,30.37793650793651,32.76684210526321,31.119052631578995,31.369157894736873,32.38147368421056,31.40642105263163,31.17126315789477,31.126736842105288,31.037684210526322,30.546947368421115,31.321789473684248,28.80431578947372,28.701473684210555,29.057894736842115,30.197157894736904,31.11178947368427,30.19757894736847,28.35031578947371,30.754105263157953,34.30536842105266,35.07231578947369,34.94042105263162,36.92284210526316,36.23505263157898,40.56378947368427,42.59431578947374,42.870526315789505,36.33463157894738,45.06084210526319,43.38010526315793,45.037578947368445,43.90052631578948,47.577578947368465,47.80042105263158,30.450000000000045,33.61095238095237,36.39557894736845,32.95322222222222
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,29.365022624434403,31.353471698113253,23.97393013100441,29.802733564013863,26.86242718446607,,30.269326599326632,26.94769491525426,29.00681355932204,32.277340067340106,31.684141414141436,30.789663299663346,32.58515151515155,30.369528619528637,30.16447811447813,29.960101010101027,29.465555555555568,29.317340067340126,30.495319865319914,27.985622895622953,26.854377104377136,27.28333333333336,29.19673400673406,29.60973063973063,29.910808080808124,25.821418918918937,28.919696969696986,32.60811447811449,34.27080808080814,34.66144781144783,36.61572390572394,35.30939393939394,39.48683501683507,41.92804713804719,41.481784511784554,36.084237288135625,43.67336700336705,41.575185185185205,43.99922558922566,41.471885521885554,44.94979797979801,44.22629629629637,,35.35505050505054,36.54838383838387,30.391018181818197
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,29.7516714697407,32.0341739130435,21.415833333333353,30.38002493765589,28.233400000000017,25.730000000000018,30.59314214463842,26.65097186700774,28.710548628428967,31.780822942643397,32.571695760598516,31.303915211970093,33.0603740648379,31.39977556109727,30.436882793017503,30.463516209476325,29.853042394015006,29.511745635910245,31.14187032418954,28.958478802992545,26.841472081218285,26.70012468827929,29.424164588528697,29.47219451371575,30.505910224438935,25.557930174563637,28.463316708229456,32.374289276807986,34.75004987531173,34.95807980049875,36.39927680798007,36.44930174563592,39.34177057356612,42.60995012468834,41.017830423940154,36.30311720698256,44.3171321695761,42.93773067331671,44.80471321695762,43.98940149625935,45.93389027431425,43.915336658354136,,37.21563591022448,37.227556109725754,31.92323155216286
Malawi,Blantyre,TA Lundu,MWI.2.6_1,29.96189655172418,32.12418803418808,26.48098039215688,29.158888888888953,,25.946521739130446,30.520940170940207,29.052393162393173,31.6279310344828,32.52316239316241,31.386581196581233,31.813589743589773,33.73136752136759,31.81564102564107,31.242136752136787,31.98931623931628,31.07735042735044,30.392393162393205,31.516324786324844,29.419914529914536,28.498717948717967,29.30846153846153,30.238717948717976,31.278888888888957,30.7681196581197,29.592222222222233,31.433589743589778,33.99495726495729,34.899230769230826,35.209829059829076,37.00350427350429,37.35769230769233,41.087264957265006,43.070341880341914,43.35085470085471,38.57837606837609,46.863504273504304,44.378547008547,43.89153846153852,43.97735042735047,46.786410256410306,47.51581196581196,32.96600000000001,33.5047008547009,35.475470085470135,37.37626086956527
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,27.910384615384658,29.006428571428614,27.462542372881387,26.963448275862106,,,26.950333333333333,26.063666666666677,28.934000000000026,30.849000000000046,29.827000000000055,30.8246666666667,30.530333333333374,30.76733333333334,30.12566666666669,30.79400000000004,29.38366666666667,29.468666666666707,30.503666666666675,27.524000000000058,27.275000000000034,27.44500000000005,29.0506666666667,29.961333333333357,29.530333333333374,26.232333333333372,28.717333333333386,33.902000000000044,34.29066666666671,33.56900000000002,36.45733333333334,34.941333333333375,39.859666666666726,41.11900000000003,42.15700000000004,36.39566666666667,43.81866666666667,41.91166666666669,43.575000000000045,41.83133333333336,47.76700000000005,47.011000000000024,,35.55466666666672,37.20100000000002,31.293076923076967
