NAME_0,NAME_1,NAME_2,GID_2,001MOD11A2,009MOD11A2,017MOD11A2,025MOD11A2,033MOD11A2,041MOD11A2,049MOD11A2,057MOD11A2,065MOD11A2,073MOD11A2,081MOD11A2,089MOD11A2,097MOD11A2,105MOD11A2,113MOD11A2,121MOD11A2,129MOD11A2,137MOD11A2,145MOD11A2,153MOD11A2,161MOD11A2,169MOD11A2,177MOD11A2,185MOD11A2,193MOD11A2,201MOD11A2,209MOD11A2,217MOD11A2,225MOD11A2,233MOD11A2,241MOD11A2,249MOD11A2,257MOD11A2,265MOD11A2,273MOD11A2,281MOD11A2,289MOD11A2,297MOD11A2,305MOD11A2,313MOD11A2,321MOD11A2,329MOD11A2,337MOD11A2,345MOD11A2,353MOD11A2,361MOD11A2
Malawi,Balaka,Balaka Town,MWI.1.1_1,28.56333333,30.622,,,28.31,,28.135,28.36333333,,28.356,29.258,30.094,28.99,28.834,29.056,28.318,30.48,28.854,28.826,27.90333333,26.682,28.784,29.77,28.54,27.006,28.604,29.388,33.502,34.192,34.964,35.224,36.262,39.134,37.138,39.45,41.634,44.302,43.312,47.822,39.234,44.686,44.348,45.32,43.42,37.624,36.68555556
Malawi,Balaka,TA Kalembo,MWI.1.2_1,29.78466049,29.37239865,,24.68454545,30.17066445,,27.57433915,26.74894737,26.33451613,26.08258517,28.11331104,27.53835131,25.80071274,29.43537867,29.26818182,27.81526965,29.49326656,29.19933744,28.60106317,27.13611765,27.42069337,28.68710324,30.1290755,28.27745763,28.07012327,30.78063174,30.1272265,34.97915254,34.61348228,36.13526965,36.1083359,35.74057011,40.80044684,40.05832049,41.76701079,44.6296302,46.33526965,46.25841294,46.33705701,42.78111111,47.41844376,46.14004622,46.85687211,43.89736518,40.76237209,39.53164623
Malawi,Balaka,TA Nsamala,MWI.1.3_1,30.42601674,29.33488038,,29.75038961,29.51891262,26.17923077,27.58095462,27.32211618,28.93459959,27.20028821,29.38199327,28.01432612,27.28682819,27.8531569,29.22617304,28.38638935,29.81206323,28.70314476,28.78535774,24.09213861,27.32810316,28.89652246,30.34084859,29.04076539,27.82933444,29.12770383,30.31963394,34.81552413,34.94976705,35.65710483,35.58547421,36.9765391,40.34745424,39.55191348,41.11381032,43.52572379,45.55201331,44.60870216,46.65983361,41.8602995,46.56643927,45.52221298,46.94607321,45.17280467,41.78977872,41.30351404
Malawi,Blantyre,Blantyre City,MWI.2.1_1,29.48253589,29.41344828,,27.47913706,28.02852217,27.03716049,28.02295597,25.70294118,26.83545455,26.35206897,29.14483254,29.04598086,26.65066986,22.8145283,27.9022488,25.48454545,26.41889952,26.24578947,26.15813397,21.9352459,23.59736842,24.39476684,27.43545455,25.66703349,24.12703349,26.08923445,25.51344498,30.07545455,29.78827751,31.63899522,31.89669856,30.93373206,35.55861244,34.585311,36.59966507,37.96416268,40.04511962,33.93669951,41.35746411,35.5837799,37.14751196,37.25229665,41.0607177,40.76751196,31.72482927,36.74444976
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,31.94504587,30.28504587,,31.83963964,31.4063964,,28.35363636,29.10555556,29.49651584,27.71954955,31.55036036,29.51990991,29.26612613,22.93418605,30.13459459,28.71045045,30.03612613,29.54189189,29.85144144,23.05414815,28.6481982,30.31774775,31.58837838,30.21927928,29.14216216,31.27594595,31.08423423,34.19918919,35.32045045,37.80036036,36.63252252,36.37324324,41.46513514,40.46702703,39.32297297,42.8972973,45.2636036,42.57696833,46.70738739,39.85504505,45.3209009,43.96927928,46.88495495,45.86540541,44.52675676,46.51099099
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,31.20305263,30.61694737,,31.37978947,30.46354839,26.01553846,28.35423077,27.7709589,28.93921986,27.26540984,31.04052632,30.56442105,28.09994012,28.03680851,30.99263158,29.54642105,30.12231579,29.03968421,29.86378947,25.69817204,28.00263158,28.36336842,31.48347368,30.03642105,29.27852632,30.16421053,30.38357895,34.30536842,34.27494737,36.40368421,36.76389474,35.824,41.00136842,40.85052632,40.84042105,43.57884211,45.04536842,40.28714286,45.98063158,39.31621053,43.23894737,42.48231579,45.71221053,45.38315789,37.96882979,42.60547368
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,30.65282828,30.08131034,,29.73257627,29.72557895,28.62870968,28.421875,27.37864198,28.19649746,27.16437288,31.07707071,29.42090909,27.63187726,21.09722222,29.28225589,27.99255892,28.94313131,28.31835017,28.8269697,22.36076087,27.09848485,28.835,30.69949495,28.82872054,28.23882155,30.35841751,29.11026936,32.60811448,33.76447811,35.70084175,35.53740741,34.84434343,40.42939394,39.33350168,38.98023569,42.42138047,44.18771044,40.68566102,44.90878788,38.77148148,41.32919192,41.42427609,43.12346801,44.34757576,37.63680135,40.48265993
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,31.96770574,31.68874372,,30.86452261,30.392267,32.50233429,30.04474747,30.22186667,29.69531365,29.40211055,32.18660848,30.03339152,28.41049861,23.04988701,30.04381546,28.17054863,30.28241895,30.03159601,29.32930175,25.13903226,27.95149626,30.76770574,31.53229426,29.76955112,28.99538653,32.2732419,29.57887781,32.37428928,35.28805486,36.92915212,36.44665835,35.88501247,41.67284289,40.22970075,39.29299252,43.66266833,44.68630923,40.33758105,46.19798005,38.72341646,41.54625935,42.63733167,43.01793017,44.10336658,39.55109726,41.66127182
Malawi,Blantyre,TA Lundu,MWI.2.6_1,29.73,30.86606838,,30.81102564,30.43888889,28.39105263,28.4072093,26.94349398,28.69236364,27.3874359,32.34418803,29.45940171,28.7724,,29.95700855,28.18418803,29.2857265,28.68965812,29.04299145,23.81282609,27.8525641,28.35854701,30.56880342,29.72521368,29.03,30.17136752,30.39119658,33.99495726,34.82863248,36.5665812,35.58982906,36.10931624,41.37837607,40.47854701,40.68025641,43.19461538,45.14162393,41.10669725,45.48726496,40.05068376,45.77273504,42.74623932,46.29307692,44.8857265,39.77862069,44.51102564
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,29.77366667,29.22457627,,27.9588,28.317,25.82185185,26.02176471,26.60333333,26.841,26.08862069,27.944,28.521,27.154,25.82130435,29.64266667,27.142,28.69066667,27.45633333,28.379,22.21057143,25.91333333,26.31266667,29.872,28.11666667,27.41066667,26.80666667,28.99266667,33.902,32.58833333,34.879,34.39633333,33.94166667,37.98466667,39.50233333,40.52,42.23566667,44.00233333,38.59966667,42.92,36.53178571,41.64666667,40.19066667,43.95333333,43.94833333,37.31433333,39.089
