NAME_0,NAME_1,NAME_2,GID_2,date_code,ndvi_value,date,year,source_file
Malawi,Dedza,SC Chilikumwendo,MWI.6.4_1,001MOD13A2,0.7202756097560976,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dedza,SC Kamenya Gwaza,MWI.6.5_1,001MOD13A2,0.6824458823529411,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dedza,TA Kachindamoto,MWI.6.6_1,001MOD13A2,0.6711540765391015,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dedza,TA Kaphuka,MWI.6.7_1,001MOD13A2,0.7119056074766356,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dedza,TA Kasumbu,MWI.6.8_1,001MOD13A2,0.5088175757575758,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dedza,TA Pemba,MWI.6.9_1,001MOD13A2,0.7460027576197388,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dedza,TA Tambala,MWI.6.10_1,001MOD13A2,0.528583173076923,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,Dowa Boma,MWI.7.1_1,001MOD13A2,0.62304,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,Mponela Urban,MWI.7.2_1,001MOD13A2,0.564125,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,SC Chakhaza,MWI.7.3_1,001MOD13A2,0.5536948031496063,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,SC Kayembe,MWI.7.4_1,001MOD13A2,0.5254577023498695,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,SC Mkukula,MWI.7.5_1,001MOD13A2,0.5176438066465258,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,SC Mponela,MWI.7.6_1,001MOD13A2,0.5962232394366197,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,TA Chiwere,MWI.7.7_1,001MOD13A2,0.4380912556053811,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,TA Dzoole,MWI.7.8_1,001MOD13A2,0.5523080645161291,2013-01-01,2013,new2020_ndvi.csv
Malawi,Dowa,TA Msakambewa,MWI.7.9_1,001MOD13A2,0.5289688481675393,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,Karonga Town,MWI.8.1_1,001MOD13A2,0.50722,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,Lake Malawi,MWI.8.2_1,001MOD13A2,0.0825059153612345,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,Nyipa N. P. - Karonga,MWI.8.3_1,001MOD13A2,0.6856325529542922,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,SC Mwakaboko,MWI.8.4_1,001MOD13A2,0.7213449541284404,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,SC Mwirang'ombe,MWI.8.5_1,001MOD13A2,0.6057810810810811,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,TA Kilupula,MWI.8.6_1,001MOD13A2,0.6309985401459854,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,TA Kyungu,MWI.8.7_1,001MOD13A2,0.6635354231974921,2013-01-01,2013,new2020_ndvi.csv
Malawi,Karonga,TA Wasambo,MWI.8.8_1,001MOD13A2,0.6123333333333333,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,Kasungu Boma,MWI.9.1_1,001MOD13A2,0.375928125,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,Kasungu National Park,MWI.9.2_1,001MOD13A2,0.4577327166504382,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,SC Chilowamatambe,MWI.9.3_1,001MOD13A2,0.5849467153284672,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,SC Chisikwa,MWI.9.4_1,001MOD13A2,0.5558666666666667,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,SC Kawamba,MWI.9.5_1,001MOD13A2,0.5052961267605635,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,SC Lukwa,MWI.9.6_1,001MOD13A2,0.371839406779661,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,SC M'nyanja,MWI.9.7_1,001MOD13A2,0.440364081632653,2013-01-01,2013,new2020_ndvi.csv
