ds,RAINFALL_MM,NDVI_VALUE,LST_VALUE
2025-03-06,8.42852221856469,0.7322920567254244,26.282260207979963
2025-03-22,-1.5044394238933099,0.7191271417582319,25.962324870943412
2025-04-07,6.126740136944793,0.7443417371557816,26.22281485636471
2025-04-23,-1.0912613190026672,0.7460838164120953,25.579510932376728
2025-05-09,5.081292514585515,0.7127781027105089,24.50208204724416
2025-05-25,-0.9029052610640163,0.7066365215832285,24.62348797210314
2025-06-10,2.3373494764920624,0.698186410608776,21.219048016975012
2025-06-26,5.776497224122879,0.7042154223835989,21.33433823773719
2025-07-12,0.7138020321444474,0.6989625035939366,21.2484977909389
2025-07-28,0.5849013558344045,0.6787028604237828,22.954776338456163
2025-08-13,0.2256354485010572,0.6519603512634415,24.716097454725947
2025-08-29,1.187510812451022,0.6326716009869338,24.82107585793856
2025-09-14,-0.36331704898207917,0.63126507683132,28.255657574983427
2025-09-30,2.1717935909538744,0.615990573099872,29.496857133934903
2025-10-16,3.8309631998025573,0.6443061618551541,29.39534192617428
2025-11-01,3.842339742893456,0.6478152733081207,29.769144949130293
2025-11-17,-1.6573856374501155,0.6400435202074564,31.461905635794984
2025-12-03,3.2283235546746463,0.6337477210398966,32.52840033875833
2025-12-19,5.527370891506034,0.6290788953874896,31.082321619551994
2026-01-04,7.917247384596672,0.6875339707272919,26.26874657574944
2026-01-20,4.83662531520093,0.6958044697239079,25.476318339352403
2026-02-05,5.4369064569292185,0.7026990964153617,26.335680244777016
2026-02-21,23.267719165940292,0.7515001523863448,23.716456978030042
2026-03-09,4.295133912748491,0.7530255817574145,24.047417006556657
2026-03-25,0.7609841484315281,0.7447396279543903,23.48858925327602
2026-04-10,5.303313999601502,0.7728490983964421,24.01435423582454
2026-04-26,-0.4339086637731646,0.7642961908010202,22.846546398355713
2026-05-12,5.488030990140733,0.7338298311254579,22.327236828553943
2026-05-28,-1.5866450814597033,0.7296886055843644,21.806302110700603
2026-06-13,4.309594928015143,0.721542163349124,18.565202037636425
2026-06-29,5.046567301581625,0.7294688799177157,19.13627136142115
2026-07-15,0.8490231580646501,0.7193260670875327,18.888641131845826
2026-07-31,0.6721747819817332,0.6991454910900087,21.168725303646074
2026-08-16,0.7998849935164363,0.6703511493198386,22.269750353133997
2026-09-01,1.167512000331052,0.6568491071409819,22.915887007585845
2026-09-17,0.11642358058832247,0.6521565858977552,26.38251646520972
2026-10-03,2.8298006438470686,0.6415756184263749,27.129652493005675
2026-10-19,4.418416108453204,0.6730113314316702,27.056831075700142
2026-11-04,3.28846004432953,0.6685407800458475,27.627809787869687
2026-11-20,-1.4849641401451517,0.6648928910945027,29.416448299880358
2026-12-06,4.6820131449073665,0.6535592205994462,30.16926787967302
2026-12-22,5.650671492892926,0.6603412400709018,28.060786594625434
2027-01-07,8.846839612895621,0.7187308617670038,23.27198901584698
2027-01-23,3.4231031505185068,0.7168093545668139,23.5227566067557
2027-02-08,9.18157578101653,0.7345950340853851,23.586980198541855
2027-02-24,22.953945314374067,0.7800609014286884,21.22258789856355
2027-03-12,0.9707404444819181,0.7734527701600376,21.737490141571435
2027-03-28,3.260753765220805,0.7719154865954531,21.08582907050851
2027-04-13,3.965393078680734,0.7999000140616422,21.72419092022434
