ds,RAINFALL_MM,NDVI_VALUE,LST_VALUE
2025-03-06,3.260347491580643,0.5655312138676118,27.76453258370131
2025-03-22,4.97866354338465,0.5551230321030929,28.496837797245043
2025-04-07,19.885038599867862,0.5504471134355747,28.253032980002757
2025-04-23,-1.7524183300634681,0.5108751225576474,28.60515309197559
2025-05-09,-2.417046783279104,0.4769047366564468,28.347320695334183
2025-05-25,-1.2536552001806232,0.4396829159057155,28.621623868766157
2025-06-10,-2.536668079327097,0.4053421629270177,26.532530842465754
2025-06-26,-1.2143516266938201,0.3590065073154165,24.674721155495345
2025-07-12,-2.1831605486090533,0.3406086265327347,27.139100873554735
2025-07-28,-1.1883938873411852,0.31803891507226856,28.670292080624268
2025-08-13,-2.9235535590184734,0.2863331035063365,31.207149399401615
2025-08-29,-0.5707912537931139,0.2876307613477305,31.723009703406618
2025-09-14,-3.0982288315957804,0.2679014057909881,37.463190468743264
2025-09-30,-0.9899783439179519,0.2710880142506018,38.83739721465352
2025-10-16,-2.740292662031653,0.2622220029913019,36.86954397495885
2025-11-01,0.7059613832552805,0.2878497689840636,39.47906628654213
2025-11-17,-1.708607239504993,0.31485946782993646,39.34633971658813
2025-12-03,-0.6794980189018037,0.33668859967471493,39.29303495348415
2025-12-19,3.8145712429373466,0.40793399708073913,34.84688372023698
2026-01-04,8.605094932899421,0.4630946552747167,31.18095517944694
2026-01-20,9.446984064537965,0.5471505664742182,29.13090407401618
2026-02-05,-3.3669553669957564,0.5857593708851865,29.734511081634828
2026-02-21,7.251785875562739,0.5669865646347457,29.559319920635456
2026-03-09,-0.08319761102895407,0.5425806753478737,27.33817889890545
2026-03-25,7.9322276400769125,0.5366779353343527,28.289132175457883
2026-04-10,16.789533951877466,0.5262685994898961,27.86172855967919
2026-04-26,-5.4106872018897665,0.4849213965405837,28.35655021748328
2026-05-12,-2.0633154497257693,0.4518830173162036,27.955171130784308
2026-05-28,-3.2516738081434107,0.4143922159426546,28.28316526827289
2026-06-13,-2.9078591555992097,0.3790752757121184,25.53678652457205
2026-06-29,-2.7728811523909926,0.33335531875801927,24.67423622937411
2026-07-15,-2.768306154284262,0.3205400540473399,27.085347930066618
2026-07-31,-2.7662471339611554,0.2911826971522466,28.799712397272167
2026-08-16,-3.5250689348783757,0.26689121646150804,31.01128751167378
2026-09-01,-1.91729264726529,0.26604080992536977,31.931359412203616
2026-09-17,-4.070740896044651,0.24737382697408417,38.134935804574596
2026-10-03,-2.0328269280150604,0.2519487939247035,37.88900518751108
2026-10-19,-3.7398456199886234,0.2429790378201287,36.909864681289
2026-11-04,0.08621342149788733,0.27654625984600406,39.296162502163
2026-11-20,-3.574075937268391,0.2962655216208159,39.04861791090906
2026-12-06,-0.5022679084904869,0.3283276698480163,38.55733591493686
2026-12-22,2.936041828855008,0.39902054076990695,33.62438278384002
2027-01-07,9.110981138044169,0.4560871391577578,30.48683736732445
2027-01-23,5.862059950821694,0.5409220305458455,28.614351765799583
2027-02-08,-3.924794505843259,0.5651824901642483,29.70975253939891
2027-02-24,7.012715742548628,0.5436078164653119,28.725016181285778
2027-03-12,-2.7248380498767117,0.5202918579430441,27.063294549378398
2027-03-28,11.02290310014677,0.518184308812788,27.989685232232546
2027-04-13,12.318336789184968,0.5008275136000288,27.53746454926278
2027-04-29,-7.818936732058722,0.45956230121680525,28.045627428279964
2027-05-15,-2.1416122424076756,0.42647865290557296,27.625981590231895
2027-05-31,-5.069236200769796,0.3894313647904279,27.80805167024672
2027-06-16,-3.344971689495914,0.3520860062930555,24.614438169019063
2027-07-02,-4.314196872185625,0.3092054800912096,24.79453574150385
2027-07-18,-3.3484816252073344,0.29960188846576435,26.974345480289934
2027-08-03,-4.402499949592062,0.2644886993405862,28.985021580659975
2027-08-19,-3.9825841126742083,0.2484952485735045,30.707446922793295
2027-09-04,-3.483364748330593,0.2433740425663829,32.40210187944814
2027-09-20,-4.789425760396661,0.2281437600638452,38.52299267026864
2027-10-06,-3.333541354931688,0.23172884123243057,36.93872293894978
2027-10-22,-4.40456252446614,0.2256905952354945,37.09221730065754
2027-11-07,-0.9381003946099229,0.26436175892906966,38.98080701892363
2027-11-23,-5.0943640111523845,0.2780464244451152,38.79963300389348
2027-12-09,-0.4005510869901845,0.3215450155718809,37.62355192965522
2027-12-25,2.205143151680338,0.3890625320873023,32.507652542601754
2028-01-10,9.335635336152375,0.45067969057725643,29.795264287692405
2028-01-26,1.8752913281819743,0.532298985598023,28.227357215434537
2028-02-11,-3.4356175328225413,0.5433475611517566,29.59228908849899
2028-02-27,5.637388264793492,0.5201364103078236,27.862480306628537
2028-03-14,-4.22341413628096,0.4988806490595077,26.9032121733008
2028-03-30,13.600749458277448,0.4991293395023873,27.60673233621205
2028-04-15,6.953190588479364,0.4744994432074995,27.279531770162723
2028-05-01,-9.03357378372724,0.4347019317515069,27.670173159266582
2028-05-17,-2.8080464251240547,0.40076163489878563,27.361845248729466
2028-06-02,-6.5443800318584175,0.36467126914632453,27.170461479206985
2028-06-18,-3.994019374104921,0.3245468316348797,23.838766301469448
2028-07-04,-5.706857141642988,0.286643991290205,24.966661806554235
2028-07-20,-4.053306907930784,0.27730715480188173,26.848072500387943
2028-08-05,-5.96024712541645,0.23868967903523786,29.178334780167805
2028-08-21,-4.432154396874775,0.23046032442454226,30.354709784420788
2028-09-06,-5.151196491347784,0.22009638738631146,33.1053869719413
2028-09-22,-5.344139759890294,0.2099333030302215,38.565217185428764
2028-10-08,-4.822374640471862,0.21058772137577458,36.10426611135745
