NAME_0,NAME_1,NAME_2,ID_2,mean_01.01,mean_01.09,mean_01.17,mean_01.25,mean_02.02,mean_02.10,mean_02.18,mean_02.26,mean_03.06,mean_03.14,mean_03.22,mean_03.30,mean_04.07,mean_04.15,mean_04.23,mean_05.01,mean_05.09,mean_05.17,mean_05.25,mean_06.02,mean_06.10,mean_06.18,mean_06.26,mean_07.04,mean_07.12,mean_07.20,mean_07.28,mean_08.05,mean_08.13,mean_08.21,mean_08.29,mean_09.06,mean_09.14,mean_09.22,mean_09.30,mean_10.08,mean_10.16,mean_10.24,mean_11.01,mean_11.09,mean_11.17,mean_11.25,mean_12.03,mean_12.11,mean_12.19,mean_12.27
Malawi,Balaka,Balaka Town,MWI.1.1_1,,33.61909090909097,34.406363636363665,29.3344444444445,29.677272727272737,34.736666666666736,28.32272727272732,28.906363636363665,,,32.2918181818182,21.130000000000052,27.750000000000057,29.3336363636364,27.739090909090976,31.346363636363662,30.05545454545461,28.135454545454593,29.426363636363646,24.442000000000064,28.739090909090976,25.666363636363656,24.547142857142887,26.80272727272728,28.320909090909083,27.902727272727304,30.02454545454549,31.806363636363642,33.83727272727276,32.97363636363639,33.25000000000006,36.32272727272732,37.46454545454549,38.81181818181824,42.18454545454546,43.206363636363676,,45.57727272727277,41.197272727272775,41.17181818181825,43.01363636363641,38.67727272727274,42.55727272727273,37.26636363636368,,
Malawi,Balaka,TA Kalembo,MWI.1.2_1,37.38927272727278,32.76020833333337,33.04682326621929,30.41286368843072,29.420316027088063,32.990992907801456,27.864855195911446,29.10098434004476,27.62390946502063,26.492291666666688,30.37543624161077,27.630629921259867,28.59514367816098,29.555838926174545,27.793352468427145,29.76024608501126,29.112326621923955,28.293087248322195,28.67514541387027,23.30279365079366,27.604519015660003,26.11085011185685,25.129515885022727,27.08210290827742,27.3825950782998,28.17536912751683,29.846196868008974,31.814720357941894,33.487695749440775,32.3633780760627,32.26769574944075,36.830313199105206,38.96785234899335,40.06836689038033,43.309015659955264,43.77874720357943,,47.09545861297539,45.23554809843404,43.015816554809874,45.2473825503356,42.005861297539184,45.44697986577188,38.957795454545476,26.902093023255816,26.621428571428623
Malawi,Balaka,TA Nsamala,MWI.1.3_1,37.69752475247526,34.00491238670702,33.835547533092665,29.8838143036387,29.6193904646953,33.02340957827022,27.996688829787274,29.821660649819535,28.124169096209926,26.321738317757024,31.04144404332135,27.405055710306442,28.445911602210003,29.178231046931444,27.843063932448786,29.76008423586046,29.060697954271973,28.34104693140796,28.940300842358624,23.878666666666675,27.993802647412792,26.57344163658246,25.444941419710574,27.616594464500622,28.018038507821927,28.25693140794226,30.283694344163678,32.265258724428406,34.208796630565644,32.53956678700365,34.102394705174504,37.26447653429608,38.48140794223826,39.664464500601696,42.98442839951866,43.25181708784601,,46.953694344163694,44.971492178098686,44.52120336943443,45.015186522262354,41.46464500601684,42.023261000602815,38.46676399026768,,
Malawi,Blantyre,Blantyre City,MWI.2.1_1,,26.257703703703726,27.766524822695033,26.7668888888889,28.45565371024736,25.925405405405456,24.97394736842108,27.246819787985885,28.20847328244281,24.133552123552136,27.965971731448803,26.11488038277514,25.868214285714316,27.726042402826863,25.900106007067166,27.20356890459368,27.08102473498235,26.46173144876326,26.496996466431085,22.406879432624123,24.85445229681983,22.80780918727919,21.26945454545455,23.236690391459092,23.789787985865757,24.883922261484145,26.39318021201416,27.775088339222634,29.734028268551242,28.73098939929332,28.640318021201438,31.040812720848066,33.31240282685519,34.341095406360466,37.30512367491167,36.34222614840991,,40.67911660777389,36.31395759717316,35.26074204946997,35.98236749116609,35.17692579505302,35.86081272084806,32.43367491166083,28.73363636363638,25.450000000000045
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,,34.49226027397265,35.87693069306931,30.493300330033037,32.822013201320146,34.04302904564321,29.778473282442803,31.06214521452148,27.97932038834955,26.906222222222254,31.983861386138642,28.29739273927396,28.328613861386202,29.36359735973599,28.161419141914223,29.489603960396096,29.28821782178221,29.160693069307,28.983861386138642,25.293087248322195,27.55171617161716,26.49442244224423,26.535642857142875,28.022871287128737,28.95745874587459,28.78742574257427,29.746897689769014,32.09686468646868,34.57336633663368,32.811650165016545,34.408943894389495,36.785775577557786,37.394092409240955,38.9624092409241,42.21270627062711,41.89930693069306,,45.88247524752478,44.81739273927394,44.32003300330035,45.211716171617184,40.874158415841634,36.9422772277228,39.74828382838285,,
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,,31.697358490566046,33.72744,29.076250000000016,31.21796875000001,31.874574468085143,26.930769230769272,29.30242187500005,27.401746031746086,25.856724137931053,30.70796875000002,28.869103139013475,27.751488372093036,28.895078125000055,27.720078125000043,28.708437500000002,28.90671875000004,28.66960937500005,28.866250000000036,24.744296875000032,27.45890625000004,25.621640625000055,25.833500000000015,27.551015625000048,28.100937500000043,28.11812500000002,29.600859375000027,31.802109375000043,33.73156250000005,33.21164062500003,33.77703125000005,36.136171875,37.481484375000036,38.472109375,41.400000000000034,40.804039215686316,,45.557187500000055,42.691484375000016,39.55664062500006,42.565000000000055,40.273281250000025,38.55484375000003,36.42453125000003,29.315714285714307,24.73153846153849
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,37.98333333333335,29.84477386934674,32.105990338164304,28.578908045977016,30.134009661835762,31.199004739336544,28.567176470588265,29.13642512077297,29.935000000000002,24.888538461538474,30.05734299516911,28.33597530864199,27.95295081967214,29.13574879227059,26.743300970873804,28.07512077294689,28.168309178743982,28.14086956521743,27.71454106280197,23.683093093093134,26.320579710144955,24.982415458937226,23.878837209302333,25.689211822660127,26.38309178743964,26.907584541062818,27.765990338164272,30.222898550724665,32.720966183574944,31.935410628019326,32.77888888888896,34.493526570048346,36.57661835748797,37.76816425120779,40.54888888888894,38.650000000000034,,44.54840579710145,42.22941888619857,38.98687041564796,42.713671497584585,39.69169082125609,38.71198067632855,36.37874396135271,29.030481927710866,
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,,31.515396226415135,31.842746858168766,30.026214149139605,30.539551166965907,30.553646112600575,29.201761517615182,30.851974865350144,28.741750000000025,25.686108949416393,30.56802513464993,29.3445255474453,30.014461538461603,30.080053859964153,26.9740933572711,29.066912028725312,28.43201077199285,28.687091561938985,27.86877917414722,22.768978723404302,25.84357271095155,24.75675044883309,22.895634674922633,24.365439856373428,25.848240574506292,25.808384201077217,27.055421903052093,29.30935368043089,32.751436265709174,31.569245960502712,32.18098743267507,34.57764811490125,37.024578096948005,38.58375224416517,40.77017953321365,39.08145421903055,,44.4563913824058,41.91464028776983,37.52062836624782,43.01520646319574,41.24630161579893,40.97100538599642,37.85983842010779,33.659158878504684,27.710909090909126
Malawi,Blantyre,TA Lundu,MWI.2.6_1,,33.49049689441,34.59790123456793,30.384078947368437,31.81444444444446,32.77701298701305,28.015945945945987,30.135185185185208,,,31.78728395061728,28.332251655629193,27.5360645161291,28.636666666666713,27.41814814814819,29.18938271604941,28.668641975308674,28.026543209876593,28.536790123456797,25.033149606299276,27.475061728395076,25.7513580246914,26.241205673758884,27.579506172839558,27.680493827160547,28.729506172839535,29.42382716049383,31.52753086419756,34.07111111111112,32.835679012345736,34.25777777777779,36.80506172839506,37.55716049382721,39.14185185185187,42.18518518518522,42.42567901234571,,46.94049382716054,42.50283950617285,44.251234567901236,42.044567901234586,38.84086419753089,36.341111111111104,39.086543209876595,,24.44500000000005
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,,26.440000000000055,30.44139534883726,27.350987654321045,28.46372093023257,28.1488235294118,24.989047619047653,27.089534883720944,28.013333333333378,24.58614457831328,28.235116279069814,26.102533333333383,25.896666666666704,27.95488372093024,26.543023255813978,27.82674418604654,27.90976744186048,26.887906976744205,27.698837209302383,23.701627906976796,25.881162790697715,23.969767441860483,24.626190476190516,25.402790697674448,25.98651162790702,27.11930232558143,28.204186046511666,30.26697674418608,31.828837209302378,30.606511627907025,31.836976744186074,33.71069767441861,36.49325581395351,37.23372093023261,40.18255813953493,39.15139534883724,,44.56674418604655,41.66279069767444,40.12558139534889,38.49441860465117,37.12860465116279,37.40302325581399,35.40325581395348,28.8471428571429,24.481891891891905
Malawi,Blantyre,TA Makata,MWI.2.8_1,,31.721186440677968,33.513733333333334,28.05027027027029,30.375066666666726,30.314800000000048,26.815970149253758,28.279333333333398,25.600000000000023,24.23969696969698,30.379866666666715,26.730000000000018,26.65106666666668,28.01800000000003,27.56066666666669,28.032400000000052,27.862000000000023,27.107866666666723,27.801733333333345,23.31072727272732,26.543600000000026,25.005733333333353,25.27266666666668,26.435066666666728,26.761733333333325,27.40306666666669,28.710000000000036,30.591866666666704,32.74813333333333,31.58413333333334,33.806533333333334,34.65480000000002,36.51106666666669,37.989466666666715,41.08440000000002,41.16226666666671,,46.68280000000004,43.26253333333335,41.41640000000001,40.276400000000024,38.082533333333345,37.24600000000004,36.33480000000003,,25.931379310344823
Malawi,Blantyre,TA Somba,MWI.2.9_1,,29.92927152317884,28.954686468646912,27.87741071428576,28.701764705882397,28.26011673151754,26.912824858757062,29.035947712418363,25.14137254901965,24.79611764705885,28.606209150326833,27.354751773049657,26.90345679012347,29.195228758169947,25.541278688524585,26.40281045751641,26.1199346405229,27.19627450980397,25.90954248366012,20.620000000000005,24.72908496732032,22.7211111111111,20.45147058823528,22.046601307189576,22.940653594771277,24.51986928104577,24.983464052287616,26.653071895424887,30.6856209150327,28.774967320261453,28.495751633986913,31.14503267973862,34.33366013071901,35.605098039215704,36.99529411764712,36.351307189542524,,41.82647058823528,35.520231023102326,33.7858823529412,39.851307189542524,40.0209803921569,41.76816993464058,37.56934640522877,33.60932584269665,
